WR, Yards Rec Until TD
N.Burleson,391
P.Hillis,138
D.Bowe,536
G.Jennings,535
W.Welker,381
M.Colston,662
B.Edwards,571
T.Beckum,63
E.Sanders,57
M.Floyd,482
M.Williams,399
M.Hoomanawanui,56
S.Moss,379
M.Crabtree,485
T.Gonzalez,383
T.Heap,508
F.Jackson,247
E.Bennett,344
L.Moore,300
M.Hoomanawanui,92
C.Johnson,712
A.Johnson,864
J.Tamme,106
M.Manningham,463
J.Shipley,75
P.Cobbs,74
D.Bowe,576
F.Davis,109
A.Boldin,712
T.Owens,684
C.Johnson,769
G.Jennings,632
P.Garcon,569
L.Pope,85
B.Watson,391
S.Rice,539
D.Branch,257
A.Armstrong,129
J.Jones,699
J.Ford,42
O.Mughelli,54
D.Nelson,54
T.Gonzalez,418
R.Gronkowski,95
T.Herremans,2
W.Heller,65
D.Mason,730
D.McFadden,227
K.Boss,301
M.Colston,840
B.Marshall,614
M.Floyd,518
V.Davis,547
P.Garcon,608
K.Winslow,351
J.Graham,165
J.King,167
R.Royal,77
M.Austin,797
A.Collie,349
D.Nelson,92
P.Harvin,461
J.Jones,776
M.Manningham,527
B.Lloyd,413
M.Spaeth,33
V.Jackson,478
J.Snelling,158
L.Pope,87
N.Burleson,445
N.Washington,467
A.Roberts,148
R.White,586
R.Gronkowski,151
J.Knox,615
J.Gresham,241
B.Robiskie,166
O.Daniels,339
J.Nelson,240
M.Thomas,289
J.Charles,276
B.Pettigrew,284
J.Tamme,191
C.Harbor,9
M.Wallace,727
M.Crabtree,591
K.Winslow,376
S.Smith,1143
A.Boldin,753
M.Forte,504
J.Gresham,273
M.Reece,55
G.Jennings,691
A.Johnson,995
K.Britt,450
S.Chandler,4
R.Gronkowski,177
D.Bryant,218
M.Jenkins,385
G.Tate,57
L.McCoy,253
C.Johnson,982
A.Armstrong,165
R.White,603
St.Johnson,53
B.LaFell,118
E.Decker,66
C.Johnson,1010
E.Moore,196
O.Daniels,365
A.Benn,215
A.Hernandez,262
