WR, Yards Rec Until TD
R.Randle,823
E.Decker,1136
S.Watkins,690
G.Tate,1232
M.Colston,1857
J.Maclin,1381
D.Bryant,1832
D.Moncrief,146
J.Jones,4293
S.Diggs,251
R.Gronkowski,1403
M.Burton,19
T.Ginn,859
A.Cooper,320
Z.Ertz,448
D.Thomas,2421
D.Woodhead,463
G.Barnidge,677
T.Kroft,22
T.Austin,460
J.Reed,657
L.Fitzgerald,2350
J.Jones,4463
C.Matthews,28
A.Green,2251
T.Jones,197
J.Maclin,1406
K.Rudolph,695
M.Hoomanawanui,235
B.Marshall,2646
D.Inman,155
J.Reed,707
K.Britt,1318
C.Sims,188
D.Hopkins,839
C.Hogan,409
M.Sanu,775
M.Wallace,2753
L.Donnell,285
K.Benjamin,372
D.Hopkins,876
E.Ebron,300
D.Woodhead,474
B.Cooks,406
Q.Enunwa,75
J.Matthews,481
D.Baldwin,1300
V.McDonald,189
D.Murray,609
A.Brown,2499
L.Fitzgerald,2405
M.Goodwin,202
T.Smith,1607
T.Burton,49
C.Coleman,31
F.Gore,796
A.Boldin,2611
D.Hopkins,903
K.Rudolph,748
D.Amendola,1105
W.Snead,294
J.Jones,4493
X.Grimble,20
T.Benjamin,679
J.Crowder,131
K.Rudolph,772
E.Sanders,1573
Z.Miller,1205
D.Adams,323
T.Hilton,1817
T.Kelce,666
D.Parker,168
C.Fleener,679
S.Shepard,114
J.Matthews,557
J.Graham,1635
B.Quick,516
S.Roberts,112
B.Quick,581
J.Tamme,824
S.Roberts,118
E.Royal,934
K.Stills,442
C.Fiedorowicz,105
K.Rudolph,784
L.McCoy,881
C.Spiller,476
D.Heyward-Bey,730
H.Henry,94
J.Kerley,786
D.Thomas,2533
J.Reed,813
C.Gillmore,210
M.Evans,817
A.Hawkins,494
C.Beasley,559
T.Coleman,93
T.Riddick,306
J.Nelson,1691
C.Meredith,59
J.Hunter,468
A.Johnson,2447
A.Thielen,176
Ty.Williams,147
S.Coates,174
J.Kerley,861
M.Floyd,2305
T.Smith,1686
A.Benn,367
M.Jones,666
B.Butler,247
J.Doyle,171
C.Hamilton,36
J.White,99
B.Cooks,550
R.Lewis,24
A.Holmes,368
H.Henry,126
J.Jones,4648
R.Matthews,354
J.Crowder,168
J.Tamme,853
B.LaFell,1262
D.Thomas,2578
A.Boldin,2673
D.Adams,411
B.Cooks,571
T.Austin,591
M.Goodwin,292
Q.Enunwa,252
D.Green-Beckham,138
J.White,131
S.Draughn,170
T.Lewan,10
J.Nelson,1885
D.Amendola,1137
J.Nelson,1915
A.Jeffery,1142
T.Eifert,515
A.Hawkins,499
J.Matthews,615
A.Gates,1456
C.Fiedorowicz,120
T.Kelce,751
B.Cooks,595
R.Shepard,19
K.Wright,1111
M.Wallace,2969
J.Witten,2370
J.Nelson,1941
A.Wilson,466
G.Olsen,2257
J.Marshall,70
G.Tate,1502
O.Beckham,355
J.Norwood,403
A.Gates,1486
J.Hunter,498
M.Ingram,144
M.Evans,910
D.Johnson,757
S.DeValve,25
D.Funchess,218
D.Baldwin,1651
J.Taylor,93
J.Adams,10
B.Powell,306
T.Gabriel,278
L.Bell,522
A.Gates,1516
C.Brate,238
D.Walker,1535
J.Crowder,312
T.Ginn,1035
G.Barnidge,758
C.Beasley,616
A.Robinson,873
D.Moncrief,200
A.Cross,8
J.Landry,779
A.Thielen,342
Z.Miller,1343
J.Richard,71
Z.Ertz,558
J.Edelman,970
D.Jackson,2387
T.Gabriel,313
B.Perriman,92
M.Lee,256
D.Brown,359
D.Harris,265
T.Williams,1102
J.Taylor,99
A.Boldin,2712
D.Inman,319
A.Brown,2702
C.Hyde,64
T.Austin,636
M.Mitchell,37
S.Roberts,181
D.Adams,428
M.Evans,1040
M.Floyd,2418
S.Ware,57
T.West,60
T.Eifert,577
R.Cobb,1274
D.Bryant,2131
C.Hogan,501
G.Tate,1647
D.Allen,464
M.Crabtree,2028
A.Brown,2738
D.Inman,354
T.Ginn,1093
S.Watkins,843
D.Funchess,283
T.Eifert,591
A.Boldin,2778
D.Adams,494
F.Gore,898
T.Hill,189
J.Hardy,137
K.Stills,545
M.Mitchell,51
T.Williams,1158
D.Sproles,1101
C.Hyde,77
E.Sanders,1814
T.Cadet,218
T.Gabriel,345
K.Aiken,342
C.Clay,956
J.Bellamy,218
E.Rogers,226
A.Humphries,197
E.Swoope,50
S.Shepard,168
R.Anderson,199
T.Benjamin,844
L.Willson,437
T.Ginn,1141
S.Watkins,911
J.Perkins,34
C.Thompson,175
B.Butler,330
J.Nelson,2109
B.LaFell,1544
T.Kelce,1174
C.Hyde,96
M.Bennett,797
C.Brate,328
D.Moncrief,224
N.Agholor,257
X.Grimble,56
J.Nelson,2200
